TIMESTAMP,DATE,MTU START (EEST),Installed Capacity MW,Max Producable MW (Rated),Availability MW,Max Produceable MW (Available),Availability %,Bid Capacity MW,Day Ahead Planned MW,Metered Production MW,Consumption MW,Net Export MW,Imbalance ,% Imbalance,Imbalance Sale MW,Imbalance Purchase MW
2025-11-11 15:15:00,2025-11-11,15:15:00,24.8,24.8,12.4,12.4,0.5,6.8,6.8,8.532,0.0,8.532,SURPLUS,0.2547058823529412,1.732,0.0
2025-11-11 15:30:00,2025-11-11,15:30:00,24.8,24.8,12.4,12.4,0.5,7.0,7.0,8.8,0.0,8.8,SURPLUS,0.2571428571428572,1.8,0.0
2025-11-11 15:45:00,2025-11-11,15:45:00,24.8,24.8,12.4,12.4,0.5,7.2,7.2,8.492,0.0,8.492,SURPLUS,0.1794444444444445,1.292,0.0
2025-11-11 16:00:00,2025-11-11,16:00:00,24.8,24.8,12.4,12.4,0.5,7.4,7.4,8.46,0.0,8.46,SURPLUS,0.1432432432432433,1.06,0.0
2025-11-11 16:15:00,2025-11-11,16:15:00,24.8,24.8,12.4,12.4,0.5,7.6,7.6,8.316,0.0,8.316,SURPLUS,0.0942105263157896,0.716,0.0
2025-11-11 16:30:00,2025-11-11,16:30:00,24.8,24.8,12.4,12.4,0.5,7.7,7.7,8.576,0.0,8.576,SURPLUS,0.1137662337662338,0.876,0.0
2025-11-11 16:45:00,2025-11-11,16:45:00,24.8,24.8,12.4,12.4,0.5,7.9,7.9,8.152,0.0,8.152,SURPLUS,0.031898734177215,0.252,0.0
2025-11-11 17:00:00,2025-11-11,17:00:00,24.8,24.8,12.4,12.4,0.5,8.0,8.0,7.976,0.0,7.976,DEFICIT,-0.003,0.0,0.024
2025-11-11 17:15:00,2025-11-11,17:15:00,24.8,24.8,12.4,12.4,0.5,8.1,8.1,7.848,0.0,7.848,DEFICIT,-0.031111111111111,0.0,0.252
2025-11-11 17:30:00,2025-11-11,17:30:00,24.8,24.8,12.4,12.4,0.5,8.2,8.2,8.648,0.0,8.648,SURPLUS,0.0546341463414634,0.448,0.0
